Date,BBCA,BBNI,BBRI,BMRI,ANTM,UNVR,TLKM,ICBP,PGAS,ASII,UNTR,GGRM,HMSP,MYOR,INDF
1/3/2011,6450,1870,1035,3171.153809,2078.942627,3210,1600,2362.5,4475,5440,23362.68945,41050,1055.129639,370.284668,4950
1/4/2011,6500,1870,1030,3244.901611,2162.94043,3210,1580,2487.5,4400,5250,24276.04492,41100,1047.592896,371.998932,5100
1/5/2011,6600,1870,1060,3367.814453,2120.94165,3270,1600,2525,4450,5205,24420.25977,41000,1043.824585,368.570374,4950
1/6/2011,6550,1870,1035,3294.06665,2078.942627,3220,1540,2462.5,4425,5100,24900.97266,40200,1040.056274,368.570374,4850
1/7/2011,6400,1870,980,3146.571289,1994.945068,3190,1470,2437.5,4300,4900,23651.11719,39050,1036.287964,368.570374,4725
1/10/2011,5900,1870,930,2949.9104,1910.947388,3130,1440,2362.5,4125,4755,21872.47656,35800,1011.793884,349.713287,4575
1/11/2011,5700,1870,960,2851.580078,1889.947876,3100,1440,2250,4075,4740,21055.26367,37000,1006.141418,346.284729,4525
1/12/2011,5800,1870,1000,2900.745361,2015.944458,3130,1500,2300,4200,4840,21535.97656,39600,1013.67804,347.998993,4700
1/13/2011,5900,1870,1020,2876.162842,2015.944458,3180,1470,2287.5,4275,4800,21584.04883,40300,1006.141418,353.141846,4725
1/14/2011,6050,1870,1030,2826.997559,2036.943848,3210,1500,2375,4225,4800,21295.61914,38400,998.604797,349.713287,4875
1/17/2011,5950,1870,1010,2777.83252,1952.946167,3290,1520,2400,4250,4745,21343.69141,38150,998.604797,347.998993,4825
1/18/2011,5800,1870,1000,2753.249756,1994.945068,3220,1560,2387.5,4275,4700,21535.97656,37000,998.604797,354.85614,4775
1/19/2011,5750,1870,960,2826.997559,1973.945557,3140,1560,2375,4325,4900,21487.9043,37550,987.299805,365.141815,4725
1/20/2011,5700,1870,955,2851.580078,1910.947388,3050,1510,2262.5,4275,4780,20670.69141,36200,979.763184,366.856079,4550
1/21/2011,5450,1870,940,2753.249756,1889.947876,2850,1510,2212.5,4075,4715,19661.19336,36200,979.763184,363.427521,4525
1/24/2011,5400,1870,975,2704.084717,1826.949707,2800,1540,2200,3900,4680,19420.83594,35500,975.994873,346.284729,4575
1/25/2011,5600,1870,1030,2777.83252,1889.947876,2830,1530,2275,4000,4920,20814.90625,36900,975.994873,347.998993,4725
1/26/2011,5850,1870,1060,2925.327881,1910.947388,2850,1550,2375,4150,5040,21584.04883,38100,957.153259,356.570404,4775
1/27/2011,5900,1870,1050,2949.9104,1931.946777,2960,1530,2375,4125,5120,21439.83398,38500,959.037415,359.998962,4875
1/28/2011,5800,1870,1020,2974.493164,1889.947876,2980,1550,2362.5,4175,5135,21103.33398,37950,964.68988,354.85614,4800
1/31/2011,5650,1870,970,2925.327881,1826.949707,3010,1510,2287.5,4225,4890,20526.47852,37250,960.92157,346.284729,4700
2/1/2011,5650,1870,980,2999.075684,1910.947388,3020,1510,2300,4100,4860,20718.76367,36800,955.269104,351.427582,4650
2/2/2011,5850,1870,985,2999.075684,1931.946777,3050,1530,2287.5,4150,4835,21632.11914,36900,966.574036,371.998932,4750
2/4/2011,6000,1870,980,2925.327881,1931.946777,3150,1550,2312.5,4225,4870,21824.4043,36700,964.68988,371.998932,4750
2/7/2011,6050,1870,975,2949.9104,1910.947388,3110,1540,2287.5,4200,4950,22160.9043,36200,962.805725,361.713257,4725
2/8/2011,6000,1870,965,2975,1889.947876,2990,1540,2275,4125,4885,21968.61914,35700,960.92157,378.856049,4825
2/9/2011,5900,1870,925,2850,1868.948486,3000,1560,2212.5,4075,4825,21535.97656,34650,960.92157,385.713196,4750
2/10/2011,5700,1870,910,2800,1826.949707,2930,1530,2162.5,3950,4825,21295.61914,33950,955.269104,373.713226,4675
2/11/2011,5950,1870,920,2775,1826.949707,2920,1520,2187.5,3825,4840,21680.19141,34200,951.500793,368.570374,4650
2/14/2011,6100,1870,930,2800,1847.949097,2900,1490,2175,3850,4955,22305.11914,34150,968.458191,347.998993,4725
